reviewcontent,reviewtype,topcritic,genres,productioncompany,movieinfo_rottentomatoeslink_movietitle
"""""""Despicable Me"""" is a pleasure",Fresh,False,"Animation, Comedy, Kids & Family",Universal Pictures,"A man who delights in all things wicked, supervillain Gru (Steve Carell) hatches a plan to steal the moon. Surrounded by an army of little yellow minions and his impenetrable arsenal of weapons and war machines, Gru makes ready to vanquish all who stand in his way. But nothing in his calculations and groundwork has prepared him for his greatest challenge: three adorable orphan girls (Miranda Cosgrove, Dana Gaier, Elsie Fisher) who want to make him their dad.m/1214097-despicable_meDespicable Me"
"Storytelling has never been Burton's strong suit and his weakness is here compounded by a desire to somehow squeeze Carroll's topsy-turvy, logical-illogical tales into a teen-friendly, Disney-approved, big-screen adventure.",Rotten,False,"Animation, Classics, Comedy, Kids & Family, Science Fiction & Fantasy",Film Chest,"A young girl when she first visited magical Underland, Alice Kingsleigh (Mia Wasikowska) is now a teenager with no memory of the place -- except in her dreams. Her life takes a turn for the unexpected when, at a garden party for her fiance and herself, she spots a certain white rabbit and tumbles down a hole after him. Reunited with her friends the Mad Hatter (Johnny Depp), the Cheshire Cat and others, Alice learns it is her destiny to end the Red Queen's (Helena Bonham Carter) reign of terror.m/1221547-alice_in_wonderlandAlice in Wonderland"
A film that etches into our psyche with its extraordinary elements,Fresh,False,Drama,Fox Searchlight,"""While exploring a remote canyon in Utah, mountaineer and adventurer Aron Ralston (James Franco) becomes trapped when a boulder falls on his arm. Over the next five days, Ralston examines his life and considers his options, leading him to an agonizing choice: to amputate his arm so that he can extricate himself and try to make his way back to civilization or remain pinned to the canyon wall and likely die. Based on Ralston's book, """"Between a Rock and a Hard Place.""""""m/127_hours127 Hours"
"I dare anyone to watch this bold exercise in postponed gratification and not come away with a new, disturbed sense of the genre.",Fresh,True,Drama,Universal Pictures,"In the late 1980s, Anthony Swofford (Jake Gyllenhaal) enlists as a Marine, training in boot camp under a sadistic drill instructor. Swofford undertakes a sniper course headed by Staff Sgt. Sykes (Jamie Foxx) during this time, which is shortly before the advent of the Gulf War. When the United States becomes involved, Swofford is shipped out, along with his spotter, Alan Troy (Peter Sarsgaard). Facing uncertainty each day -- about the war and home -- the soldiers try to maintain composure.m/1152567-jarheadJarhead"
"It's a film that sacrifices style for substance, but man, that substance is a lot of fun.",Fresh,False,"Action & Adventure, Drama",Warner Bros. Pictures,"While King Leonidas and his 300 Spartans have their date with destiny at Thermopylae, another battle against the Persians is brewing, this time at sea. Themistocles (Sullivan Stapleton), a Greek general, sees the threat posed by the God-King Xerxes of Persia. He knows that he must unite all of Greece if he is to stand any chance of repelling the Persian invasion. Even if he accomplishes his mission, Themistocles must still face Artemisia (Eva Green), the ruthless leader of the Persian armada.m/300_rise_of_an_empire300: Rise of an Empire"
Truly a cinematic gem.,Fresh,False,"Comedy, Drama",Columbia Pictures,"""Nicolas Cage is Charlie Kaufman, a confused L.A. screenwriter overwhelmed by feelings of inadequacy, sexual frustration, self-loathing, and by the screenwriting ambitions of his freeloading twin brother Donald (Nicolas Cage). While struggling to adapt """"The Orchid Thiefm/1118700-adaptationAdaptation"
"Why fix what isn't broken? 22 Jump Street is, for a very specific reason, the exact same movie as its predecessor, and for once that isn't a criticism.",Fresh,False,"Action & Adventure, Comedy",Sony Pictures,"Although they made their way through high school successfully, an investigation at a local college brings big changes for undercover officers Jenko (Channing Tatum) and Schmidt (Jonah Hill). When Jenko meets a kindred spirit on the football team and Schmidt infiltrates the bohemian art-major scene, both men begin to question their partnership. Not only do they have to crack the case, but now the two overgrown adolescents must learn how to behave like adults.m/22_jump_street22 Jump Street"
"""At this point, """"Die Hard"""" no longer describes the franchise. It describes the fans who are still willing to turn out for the noise and nonsense.""",Rotten,True,Action & Adventure,20th Century Fox,"New York City cop John McClane (Bruce Willis) arrives in Moscow to track down his estranged son, Jack (Jai Courtney). McClane thinks his son is a criminal, so it comes as a shock when he learns that Jack is actually working undercover to protect Komarov (Sebastian Koch), a Russian government whistleblower. With their own lives on the line, McClane and Jack must overcome their differences in order to get Komarov to safety and thwart a potentially disastrous crime in the Chernobyl region.m/a_good_day_to_die_hardA Good Day To Die Hard"
"Crowe and his writing team milk the tragedy, lather the romance on with a spatula and even throw in some adventure, presumably because they got bored.",Rotten,False,Drama,Warner Bros. Pictures,"Four years after the Battle of Gallipoli, Australian farmer Joshua Connor (Russell Crowe) travels to Turkey to find his three sons, who never returned home from the war. When he arrives in Istanbul, he meets others who have also suffered losses: hotelier Ayshe (Olga Kurylenko) and her son, Orhan, who befriends Connor; and Major Hasan (Yilmaz Erdogan), a Turkish officer who fought against Connor's sons and now may be their father's only hope in finding closure.m/the_water_divinerThe Water Diviner"
A Fantastic Woman is a superb character study and a severe indictment of a society that's more hypocritical than open-minded.,Fresh,False,"Art House & International, Drama",Sony Pictures Classics,A transgender singer faces scorn and discrimination after the sudden death of her older boyfriend.m/a_fantastic_womanA Fantastic Woman (Una mujer fantástica)
"The visuals are stunning, as you would expect, but characterisation is weak, and Depp's turn is one bout of lunacy too far.",Rotten,False,"Animation, Classics, Comedy, Kids & Family, Science Fiction & Fantasy",Film Chest,"A young girl when she first visited magical Underland, Alice Kingsleigh (Mia Wasikowska) is now a teenager with no memory of the place -- except in her dreams. Her life takes a turn for the unexpected when, at a garden party for her fiance and herself, she spots a certain white rabbit and tumbles down a hole after him. Reunited with her friends the Mad Hatter (Johnny Depp), the Cheshire Cat and others, Alice learns it is her destiny to end the Red Queen's (Helena Bonham Carter) reign of terror.m/1221547-alice_in_wonderlandAlice in Wonderland"
Awesome!,Fresh,False,"Action & Adventure, Drama",Warner Bros. Pictures,"In 480 B.C. a state of war exists between Persia, led by King Xerxes (Rodrigo Santoro), and Greece. At the Battle of Thermopylae, Leonidas (Gerard Butler), king of the Greek city state of Sparta, leads his badly outnumbered warriors against the massive Persian army. Though certain death awaits the Spartans, their sacrifice inspires all of Greece to unite against their common enemy.m/300300"
Director Scott Hicks pours enough syrup over this movie to cover all the pancakes IHOP can serve in a month.,Fresh,False,Drama,Warner Bros. Pictures,"U.S. Marine Sgt. Logan Thibault (Zac Efron) returns home from his third tour of duty in Iraq with the one thing he believes kept him alive: a photograph of a woman he doesn't even know. He learns the woman's name is Beth (Taylor Schilling) and goes to meet her, eventually taking a job at her family-run kennel. Though Beth is full of mistrust and leads a complicated life, a romance blooms, giving Logan hope that Beth could become more than just his good-luck charm.m/the_lucky_one_2012The Lucky One"
"Thanks a lot, Charlie Kaufman. Thanks to you, I and millions of others can no longer use writer's block as a valid excuse for the sh*ttiness of our writing.",Fresh,False,"Comedy, Drama",Columbia Pictures,"""Nicolas Cage is Charlie Kaufman, a confused L.A. screenwriter overwhelmed by feelings of inadequacy, sexual frustration, self-loathing, and by the screenwriting ambitions of his freeloading twin brother Donald (Nicolas Cage). While struggling to adapt """"The Orchid Thiefm/1118700-adaptationAdaptation"
